Lambda,Index,Accuracy,Cost,Loss,EtaMin,EtaMax,Cycles,n_s,Batchsize,Seed
,,,,,,,,,,
0.0001,71,0.5106,1.381511794,1.381511394,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.002311111,71,0.5184,1.370800003,1.370790758,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.004522222,71,0.5226,1.355904246,1.355886157,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.006733333,71,0.5232,1.355687265,1.355660332,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.008944444,71,0.5158,1.361679082,1.361643304,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.011155556,71,0.5196,1.371850803,1.37180618,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.013366667,71,0.5132,1.393266433,1.393212966,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.015577778,71,0.511,1.385234116,1.385171805,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.017788889,71,0.5088,1.400919409,1.400848253,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.02,71,0.5058,1.413143937,1.413063937,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.004,35,0.5128,1.379982667,1.379966667,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.004333333,35,0.5106,1.374471578,1.374454245,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.004666667,35,0.5066,1.394322405,1.394303738,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.005,35,0.5084,1.386486665,1.386466665,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.005333333,35,0.5052,1.384005602,1.383984269,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.005666667,35,0.5122,1.384227633,1.384204966,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.006,18,0.5034,1.417832924,1.417808924,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.006333333,35,0.5078,1.400122251,1.400096918,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.006666667,35,0.512,1.384727017,1.38470035,1.00E-05,0.1,2,900,100,1337
,,,,,,,,,,
0.007,18,0.5058,1.40885834,1.40883034,1.00E-05,0.1,2,900,100,1337
